name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Allison, L. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Bartlett, A. J. J.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Bishop, M. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Bolkus, N.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Bourne, V. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Brown, B.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Campbell, G. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Carr, K.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Collins, J. M. A.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Cook, P. F. S.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Cooney, B. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Crossin, P. M.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Crowley, R. A. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Evans, C. V. *",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Faulkner, J. P. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Forshaw, M. G.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Hogg, J. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Lees, M. H.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Lundy, K. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Mackay, S.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Margetts, D. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Murphy, S. M.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Murray, A. ",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
"Neal, B. J.",aye,In Committee,TELSTRA (TRANSITION TO FULL PRIVATE OWNERSHIP) BILL 1998,1998-07-10,SENATE,Bills,0,1,0
