name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Brown, CL",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Cameron, DN",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Collins, JMA",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Dastyari, S (teller)",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Dodson, P",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Farrell, D",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Gallacher, AM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Gallagher, KR",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Kitching, K",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Lines, S",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Marshall, GM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"McAllister, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"McCarthy, M",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Moore, CM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"O'Neill, DM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Singh, LM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Sterle, G",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Urquhart, AE",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Watt, M",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Wong, P",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Back, CJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Bernardi, C",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Birmingham, SJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Brandis, GH",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Bushby, DC",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Canavan, MJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Cash, MC",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Cormann, M",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Di Natale, R",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Duniam, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Fawcett, DJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Fifield, MP",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Georgiou, P",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Gichuhi, LM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Griff, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Hanson, P",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Hanson-Young, SC",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Hinch, D",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Hume, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Kakoschke-Moore, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Lambie, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Leyonhjelm, DE",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Ludlam, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Macdonald, ID",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"McKenzie, B",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"McKim, NJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Nash, F",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"O'Sullivan, B",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Parry, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Paterson, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Payne, MA",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Reynolds, L",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Rhiannon, L",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Roberts, M",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Ruston, A",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Ryan, SM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Scullion, NG",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Siewert, R",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Smith, D (teller)",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Waters, LJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Whish-Wilson, PS",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Williams, JR",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Xenophon, N",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,0
"Back, CJ",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Birmingham, SJ",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Brandis, GH",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Bushby, DC",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Canavan, MJ",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Cash, MC",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Cormann, M",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Duniam, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Fawcett, DJ",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Fifield, MP",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Georgiou, P",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Gichuhi, LM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Griff, S",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Hanson, P",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Hinch, D",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Hume, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Kakoschke-Moore, S",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Lambie, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Leyonhjelm, DE",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Macdonald, ID",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"McKenzie, B",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Nash, F",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"O'Sullivan, B",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Parry, S",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Paterson, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Payne, MA",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Reynolds, L",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Roberts, M",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Ruston, A",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Ryan, SM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Scullion, NG",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Smith, D (teller)",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Williams, JR",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Xenophon, N",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Bernardi, C",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Brown, CL",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Cameron, DN",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Collins, JMA",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Dastyari, S (teller)",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Di Natale, R",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Dodson, P",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Farrell, D",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Gallacher, AM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Gallagher, KR",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Hanson-Young, SC",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Kitching, K",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Lines, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Ludlam, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Marshall, GM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"McAllister, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"McCarthy, M",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"McKim, NJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Moore, CM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"O'Neill, DM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Rhiannon, L",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Rice, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Siewert, R",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Singh, LM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Sterle, G",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Urquhart, AE",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Waters, LJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Watt, M",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Whish-Wilson, PS",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Wong, P",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,1,1
"Brown, CL",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Cameron, DN",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Collins, JMA",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Dastyari, S (teller)",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Dodson, P",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Farrell, D",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Gallacher, AM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Gallagher, KR",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Kitching, K",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Lines, S",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Marshall, GM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"McAllister, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"McCarthy, M",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Moore, CM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"O'Neill, DM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Singh, LM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Sterle, G",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Urquhart, AE",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Watt, M",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Wong, P",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Back, CJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Bernardi, C",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Birmingham, SJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Brandis, GH",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Bushby, DC",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Canavan, MJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Cash, MC",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Cormann, M",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Di Natale, R",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Duniam, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Fawcett, DJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Fifield, MP",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Georgiou, P",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Gichuhi, LM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Griff, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Hanson, P",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Hanson-Young, SC",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Hinch, D",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Hume, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Kakoschke-Moore, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Lambie, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Leyonhjelm, DE",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Ludlam, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Macdonald, ID",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"McKenzie, B",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"McKim, NJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Nash, F",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"O'Sullivan, B",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Parry, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Paterson, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Payne, MA",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Reynolds, L",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Rhiannon, L",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Roberts, M",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Ruston, A",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Ryan, SM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Scullion, NG",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Siewert, R",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Smith, D (teller)",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Waters, LJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Whish-Wilson, PS",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Williams, JR",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Xenophon, N",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,0
"Back, CJ",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Birmingham, SJ",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Brandis, GH",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Bushby, DC",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Canavan, MJ",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Cash, MC",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Cormann, M",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Duniam, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Fawcett, DJ",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Fifield, MP",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Georgiou, P",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Gichuhi, LM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Griff, S",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Hanson, P",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Hinch, D",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Hume, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Kakoschke-Moore, S",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Lambie, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Leyonhjelm, DE",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Macdonald, ID",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"McKenzie, B",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Nash, F",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"O'Sullivan, B",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Parry, S",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Paterson, J",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Payne, MA",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Reynolds, L",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Roberts, M",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Ruston, A",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Ryan, SM",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Scullion, NG",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Smith, D (teller)",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Williams, JR",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Xenophon, N",aye,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Bernardi, C",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Brown, CL",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Cameron, DN",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Collins, JMA",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Dastyari, S (teller)",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Di Natale, R",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Dodson, P",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Farrell, D",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Gallacher, AM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Gallagher, KR",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Hanson-Young, SC",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Kitching, K",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Lines, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Ludlam, S",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Marshall, GM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"McAllister, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"McCarthy, M",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"McKim, NJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Moore, CM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"O'Neill, DM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Rhiannon, L",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Rice, J",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Siewert, R",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Singh, LM",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Sterle, G",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Urquhart, AE",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
"Waters, LJ",no,Second Reading,Australian Education Amendment Bill 2017,2017-06-21,Senate,BILLS,2,2,1
