name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Knowles, S.C.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Lees, M.H.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Lightfoot, P.R.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Macdonald, I.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Macdonald, J.A.L.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Mason, B.J.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Minchin, N.H.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Murray, A.J.M.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Payne, M.A.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Ridgeway, A.D.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Santoro, S.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Scullion, N.G.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Tchen, T.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Troeth, J.M.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Vanstone, A.E.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Watson, J.O.W.",no,In Committee,AGED CARE AMENDMENT BILL 2004,2004-06-21,SENATE,Bills,1,2,0
"Allison, L.F.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Bartlett, A.J.J.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Bishop, T.M.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Brown, B.J.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Buckland, G. *",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Campbell, G.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Carr, K.J.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Cherry, J.C.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Collins, J.M.A.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Conroy, S.M.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Cook, P.F.S.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Crossin, P.M.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Evans, C.V.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Forshaw, M.G.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Greig, B.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Hogg, J.J.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Hutchins, S.P.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Kirk, L.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Lees, M.H.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Ludwig, J.W.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Lundy, K.A.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Mackay, S.M.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Marshall, G.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Moore, C.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Murray, A.J.M.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Nettle, K.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"O'Brien, K.W.K.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Ridgeway, A.D.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Sherry, N.J.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Stephens, U.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Webber, R.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Wong, P.",aye,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Abetz, E.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Barnett, G.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Boswell, R.L.D.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Brandis, G.H.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Calvert, P.H.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Campbell, I.G.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Chapman, H.G.P.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Colbeck, R.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Coonan, H.L.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Ellison, C.M.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Ferguson, A.B.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Ferris, J.M. *",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Fifield, M.P.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Heffernan, W.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Humphries, G.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Johnston, D.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Kemp, C.R.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Knowles, S.C.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Lightfoot, P.R.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Macdonald, I.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Macdonald, J.A.L.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Mason, B.J.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"McGauran, J.J.J.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Payne, M.A.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Santoro, S.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Scullion, N.G.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Tchen, T.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Troeth, J.M.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Vanstone, A.E.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
"Watson, J.O.W.",no,Censure Motion,MINISTER FOR DEFENCE,2004-06-21,SENATE,Miscellaneous,11,1,0
