name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Abetz, E",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Back, CJ",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Bernardi, C",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Birmingham, SJ",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Boswell, RLD",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Boyce, SK",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Bushby, DC",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Cash, MC",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Colbeck, R",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Cormann, M",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Edwards, S",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Fawcett, DJ",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Fierravanti-Wells, C",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Fifield, MP",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Fisher, M",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Heffernan, W",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Humphries, G",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Johnston, D",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Kroger, H",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Macdonald, ID",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Madigan, JJ",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Mason, B",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"McKenzie, B",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Parry, S",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Payne, MA",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
"Ronaldson, M",aye,Order for the Production of Documents,Minerals Resource Rent Tax,2012-02-07,Senate,DOCUMENTS,3,1,0
